Name,Entry Fee,Num of Entries,Top Prize,FPTS to Cash,Winner,FPTS to win,Total Entrees,Date
NBA $375K Saturday Spin Move,$40.00,"10,803","$50,000.00",289.50,spudclot,359.25,2,Dec-10-2016
NBA $325K Sharpshooter,$3.00,"126,622","$20,000.00",274.75,Gavone954,373.50,2,Dec-10-2016
NBA $200K Power Dribble,$400.00,555,"$25,000.00",290.75,kingfi,349.00,15,Dec-10-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",303.00,kingfi,349.00,3,Dec-10-2016
NBA $40K Posterizer,$150.00,296,"$6,000.00",292.00,sidewinder,339.75,1,Dec-10-2016
NBA $40K Sharpshooter,$3.00,"15,686",$875.00,262.25,hha9442730,318.00,1,Dec-10-2016
NBA $25K Sky Hook,$9.00,"3,211","$1,000.00",293.00,deekay347,372.25,1,Dec-10-2016
NBA $25K Pump Fake,$27.00,"1,070","$2,000.00",283.00,kjr32,353.00,2,Dec-10-2016
NBA $25K And-One,$1.00,"29,411",$850.00,280.50,coray38,380.25,3,Dec-10-2016
NBA $20K Sharpshooter,$3.00,"7,843","$1,000.00",258.25,sheridan24,328.25,2,Dec-10-2016
NBA $15K Hot Shot,$3.00,"5,778",$700.00,274.50,buddybing19,363.50,3,Dec-10-2016
NBA Single Entry $5 Double Up,$5.00,"2,298",$10.00,265.00,alyssapo,343.75,1,Dec-10-2016
Casual NBA $8K Zone,$5.00,"1,882","$1,000.00",281.00,1tarheel23,348.25,1,Dec-10-2016
NBA $8K Zone,$5.00,"1,882","$1,000.00",282.75,orfreak,356.75,1,Dec-10-2016
NBA $5K High Five,$5.00,"1,176",$500.00,288.25,TarBenders,348.00,1,Dec-10-2016
NBA $200K Four Point Play,$4.00,"58,823","$10,000.00",284.00,goodellboys,374.25,81,Dec-11-2016
NBA $75K Crossover,$27.00,"3,211","$5,000.00",291.75,rcrossley1992,356.75,2,Dec-11-2016
NBA $60K 3-Ball,$300.00,222,"$8,000.00",287.50,koachsarah,339.75,1,Dec-11-2016
NBA $25K All-Star,"$1,060.00",25,"$10,000.00",286.50,bshibru,326.25,1,Dec-11-2016
NBA $25K Sharpshooter,$3.00,"9,803",$662.50,291.75,WPalmer2014,368.00,2,Dec-11-2016
NBA $20K Sharpshooter,$3.00,"7,843","$1,000.00",275.25,moosecaboose61,364.75,1,Dec-11-2016
NBA Single Entry $5 Double Up,$5.00,689,$10.00,268.25,EvilEmpire10,341.50,1,Dec-11-2016
NBA $2K High Five,$5.00,470,$400.00,294.75,Carstars,337.75,1,Dec-11-2016
NBA $375K Four Point Play,$4.00,"110,294","$8,166.67",276.75,KHOSHBIZ,356.00,1,Dec-1-2016
NBA $275K Money Ball,$333.00,917,"$50,000.00",284.00,KHOSHBIZ,356.00,1,Dec-1-2016
NBA $250K Crossover,$27.00,"10,704","$20,000.00",281.50,ZMoN3Y,356.00,1,Dec-1-2016
NBA $130K Thunderdome,"$5,300.00",26,"$40,000.00",280.75,Kobe4MVP,309.25,1,Dec-1-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",281.50,JmoFoShoSUCKA,322.25,2,Dec-1-2016
NBA $50K Posterizer,$150.00,370,"$5,000.00",280.25,talkin97,328.75,1,Dec-1-2016
NBA $30K And-One,$1.00,"35,294",$324.55,276.25,SmallChocolateMalt,356.00,3,Dec-1-2016
NBA $25K Pump Fake,$27.00,"1,070","$2,000.00",284.50,hanchet5959,342.25,3,Dec-1-2016
NBA $25K Sky Hook,$9.00,"3,211","$1,000.00",279.25,ZMoN3Y,356.00,1,Dec-1-2016
NBA $20K Sharpshooter,$3.00,"7,843",$612.50,277.00,TheGreff,356.00,1,Dec-1-2016
NBA Single Entry $5 Double Up,$5.00,"3,448",$10.00,273.25,jpennino15,356.00,1,Dec-1-2016
NBA $15K Hot Shot,$3.00,"5,882",$700.00,277.75,SmallChocolateMalt,356.00,1,Dec-1-2016
NBA $5K High Five,$5.00,"1,176",$500.00,290.75,matt24ma,337.50,1,Dec-1-2016
NBA $500K Power Dunk,$444.00,"1,251","$75,000.00",292.50,Kobe4MVP,332.75,35,Dec-12-2016
NBA $450K Four Point Play,$4.00,"132,352","$50,000.00",277.00,JWest64,353.50,13,Dec-12-2016
NBA $250K Crossover,$27.00,"10,704","$25,000.00",286.25,lozingitall,343.75,150,Dec-12-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",298.75,hoop2410,321.75,1,Dec-12-2016
NBA $70K Sharpshooter,$3.00,"27,450","$1,261.11",281.25,youdacao,337.75,150,Dec-12-2016
NBA $40K Posterizer,$150.00,296,"$6,000.00",292.75,dabbind,328.25,1,Dec-12-2016
NBA $30K Sharpshooter,$3.00,"11,764","$1,000.00",282.25,hageval,344.00,6,Dec-12-2016
NBA $25K Pump Fake,$27.00,"1,070","$2,000.00",285.50,MrBadAss,339.00,2,Dec-12-2016
NBA $25K And-One,$1.00,"29,411","$1,000.00",279.75,etphonehome,345.75,150,Dec-12-2016
NBA $20K Crossover,$27.00,856,"$1,083.33",288.50,dahliacope,332.50,3,Dec-12-2016
NBA $20K Sky Hook,$9.00,"2,569","$1,000.00",288.75,juanshen,340.00,75,Dec-12-2016
NBA $15K Sharpshooter,$3.00,"5,882",$700.00,285.25,invertedcheese,355.50,150,Dec-12-2016
NBA $15K Hot Shot,$3.00,"5,882",$700.00,279.25,Couch22,352.50,3,Dec-12-2016
NBA Single Entry $5 Double Up,$5.00,"2,758",$10.00,276.25,Honkus,347.50,1,Dec-12-2016
Casual NBA $10K Zone,$5.00,"2,204",$500.00,271.75,stue1547,349.00,1,Dec-12-2016
NBA $10K Zone,$5.00,"2,352",$500.00,280.50,Jaypro13,344.75,1,Dec-12-2016
NBA $4K High Five,$5.00,941,$400.00,289.50,jbugz12,332.50,1,Dec-12-2016
NBA $500K Four Point Play,$4.00,"147,058","$50,000.00",274.50,capnbucko,382.25,15,Dec-13-2016
NBA $325K Triple Threat,$33.00,"11,385","$30,000.00",285.25,amoney15000,377.25,4,Dec-13-2016
NBA $300K Money Ball,$333.00,"1,001","$37,500.00",286.50,franktank1987,343.75,1,Dec-13-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",291.50,papagates,335.50,3,Dec-13-2016
NBA $50K Sharpshooter,$3.00,"19,607","$1,108.33",244.25,Cali_sco,330.75,2,Dec-13-2016
NBA $40K Posterizer,$150.00,296,"$6,000.00",282.50,Awesemo,372.25,3,Dec-13-2016
NBA $30K Pump Fake,$27.00,"1,284","$3,500.00",281.75,vonkers68,357.00,2,Dec-13-2016
NBA $30K Sky Hook,$9.00,"3,853","$2,500.00",292.50,batkinson1125,362.50,1,Dec-13-2016
NBA $30K And-One,$1.00,"35,294","$1,000.00",276.75,milkdude76,380.00,1,Dec-13-2016
NBA $20K Hot Shot,$3.00,"7,843","$1,000.00",269.25,stevak10,365.00,1,Dec-13-2016
NBA $15K Crossover,$27.00,642,"$1,500.00",246.50,Blacklox,301.75,2,Dec-13-2016
Casual NBA $10K Zone,$5.00,"2,352",$500.00,269.75,TomCB4,355.00,1,Dec-13-2016
NBA $10K Zone,$5.00,"2,352",$500.00,270.25,mnyoung,359.00,1,Dec-13-2016
NBA Single Entry $5 Double Up,$5.00,"2,298",$10.00,255.50,shaunlee97,362.75,1,Dec-13-2016
NBA $4K High Five,$5.00,941,$400.00,278.25,NPStollings,351.50,1,Dec-13-2016
NBA $500K High Flyer Encore,$444.00,"1,223","$100,000.00",284.00,Awesemo,343.25,6,Dec-2-2016
NBA $450K Four Point Play,$4.00,"132,352","$50,000.00",272.25,bbvw2002,371.75,8,Dec-2-2016
NBA $325K Triple Threat,$33.00,"11,219","$30,000.00",281.75,pianoclub,356.75,150,Dec-2-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",288.25,ryanmax,324.00,1,Dec-2-2016
NBA $45K Posterizer,$150.00,333,"$6,000.00",280.75,Awesemo,334.00,3,Dec-2-2016
NBA $35K Sky Hook,$9.00,"4,495","$3,000.00",286.00,pianoclub,356.75,100,Dec-2-2016
NBA $35K And-One,$1.00,"41,176","$1,500.00",272.50,abusankoh6,356.25,1,Dec-2-2016
NBA $25K Pump Fake,$27.00,"1,070","$2,000.00",280.50,DrewYou22,355.00,3,Dec-2-2016
NBA $20K Hot Shot,$3.00,"7,843","$1,000.00",271.25,MikeyLik3sit,344.25,1,Dec-2-2016
NBA Single Entry $5 Double Up,$5.00,"2,758",$10.00,271.25,jreyff,341.25,1,Dec-2-2016
NBA $5K High Five,$5.00,"1,176",$500.00,284.00,BadJerry20,334.75,1,Dec-2-2016
NBA $400K Saturday Spin Move,$40.00,"10,571","$50,000.00",264.00,fallfromgrace,358.00,75,Dec-3-2016
NBA $300K Sharpshooter,$3.00,"117,647","$30,000.00",265.50,workingclasspro,363.50,15,Dec-3-2016
NBA $200K Power Dribble,$400.00,555,"$25,000.00",263.50,safcoking,331.50,2,Dec-3-2016
NBA $135K All-Star,"$1,060.00",128,"$25,000.00",270.25,GFallis,313.75,3,Dec-3-2016
NBA $40K Posterizer,$150.00,296,"$6,000.00",265.50,513yoshi,333.00,3,Dec-3-2016
NBA $30K Sky Hook,$9.00,"3,853","$2,500.00",272.50,pianoclub,347.00,100,Dec-3-2016
NBA $25K Pump Fake,$27.00,"1,070","$2,000.00",264.00,sidewinder,331.00,3,Dec-3-2016
NBA $25K And-One,$1.00,"29,411","$1,000.00",265.25,ATMCKNIGHT,357.75,21,Dec-3-2016
NBA $15K Sharpshooter,$3.00,"5,882",$700.00,260.50,bigdaddybrownsky,350.25,1,Dec-3-2016
NBA Single Entry $5 Double Up,$5.00,"2,758",$10.00,250.50,Tramlaw2119,339.75,1,Dec-3-2016
NBA $5K High Five,$5.00,"1,176",$500.00,269.00,ralph37,323.25,1,Dec-3-2016
NBA $200K Sharpshooter,$3.00,"73,735","$10,000.00",260.00,tbormuth,332.00,2,Dec-4-2016
NBA $100K Crossover,$27.00,"4,008","$5,000.00",259.25,jhbmx,310.75,1,Dec-4-2016
NBA $70K 3-Ball,$300.00,247,"$10,000.00",262.75,wining247,306.50,3,Dec-4-2016
NBA $35K All-Star,"$1,060.00",31,"$12,000.00",261.00,bradhr,291.00,1,Dec-4-2016
NBA $20K Sharpshooter,$3.00,"7,843","$1,000.00",261.75,thomcotton,321.25,3,Dec-4-2016
NBA $20K Sharpshooter,$3.00,"7,843","$1,000.00",260.25,bugtuck,304.25,2,Dec-4-2016
NBA $15K Posterizer,$150.00,111,"$2,500.00",267.00,wining247,306.50,2,Dec-4-2016
NBA $15K And-One,$1.00,"17,647",$500.00,261.50,LuckyLeo21,324.50,1,Dec-4-2016
NBA Single Entry $5 Double Up,$5.00,"1,532",$10.00,251.50,wining247,306.50,1,Dec-4-2016
NBA $2K High Five,$5.00,470,$400.00,270.50,wining247,306.50,1,Dec-4-2016
NBA $450K Four Point Play,$4.00,"132,352","$50,000.00",288.50,buddy0623,385.50,11,Dec-5-2016
NBA $450K Power Dunk,$444.00,"1,126","$100,000.00",301.50,SaahilSud,378.00,30,Dec-5-2016
NBA $250K Crossover,$27.00,"10,704","$25,000.00",297.00,SaahilSud,378.00,150,Dec-5-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",302.75,dahladino,328.75,1,Dec-5-2016
NBA $40K Posterizer,$150.00,296,"$6,000.00",301.00,kingfi,349.25,3,Dec-5-2016
NBA $30K Sharpshooter,$3.00,"11,764","$1,000.00",292.00,SaahilSud,378.00,150,Dec-5-2016
NBA $30K And-One,$1.00,"35,294","$1,000.00",287.75,yoppcity,384.75,1,Dec-5-2016
NBA $25K Sky Hook,$9.00,"3,211","$1,000.00",296.25,SaahilSud,378.00,75,Dec-5-2016
NBA $20K Pump Fake,$27.00,856,"$1,500.00",294.25,mrclock,347.50,1,Dec-5-2016
NBA $20K Hot Shot,$3.00,"7,843","$1,000.00",285.75,Toothbrush,362.75,1,Dec-5-2016
NBA Single Entry $5 Double Up,$5.00,"3,448",$10.00,281.25,marklhinely,362.50,1,Dec-5-2016
NBA $5K High Five,$5.00,"1,176",$500.00,296.25,wbdavis,356.50,1,Dec-5-2016
NBA $750K SUPER Spin Move,$40.00,"21,676","$75,000.00",304.25,Awesemo,374.25,150,Dec-6-2016
NBA $375K Sharpshooter,$3.00,"147,058","$25,000.00",286.50,jdm68a,379.25,140,Dec-6-2016
NBA $250K Money Ball,$333.00,834,"$25,000.00",313.25,Awesemo,355.50,10,Dec-6-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",327.00,scout326,352.75,1,Dec-6-2016
NBA $30K Posterizer,$150.00,222,"$3,000.00",312.25,Kobe4MVP,358.50,3,Dec-6-2016
NBA $30K Sharpshooter,$3.00,"11,764","$1,000.00",262.50,darrenlesher,324.50,1,Dec-6-2016
NBA $25K Sky Hook,$9.00,"3,211","$1,000.00",309.50,ThatStunna,374.25,20,Dec-6-2016
NBA $25K And-One,$1.00,"29,411","$1,000.00",297.00,mdb770,380.25,145,Dec-6-2016
NBA $20K Pump Fake,$27.00,856,"$1,500.00",308.75,ams38862,367.25,1,Dec-6-2016
NBA Single Entry $5 Double Up,$5.00,"1,724",$10.00,295.75,tmoney123,360.75,1,Dec-6-2016
NBA $4K High Five,$5.00,941,$400.00,313.25,tmoney123,360.75,1,Dec-6-2016
NBA $400K Money Ball,$333.00,"1,334","$50,000.00",262.50,kingfi,320.50,40,Dec-7-2016
NBA $400K Four Point Play,$4.00,"117,647","$30,000.00",260.75,anilprao88,345.25,150,Dec-7-2016
NBA $300K Triple Threat,$33.00,"10,509","$30,000.00",260.25,anilprao88,345.25,150,Dec-7-2016
NBA $135K All-Star,"$1,060.00",135,"$25,000.00",260.00,Awesemo,327.75,2,Dec-7-2016
NBA $130K Thunderdome,"$5,300.00",26,"$40,000.00",250.00,Kobe4MVP,273.75,1,Dec-7-2016
NBA $45K Sharpshooter,$3.00,"17,647","$2,500.00",242.50,DonaldPhuck,304.00,1,Dec-7-2016
NBA $40K Posterizer,$150.00,296,"$6,000.00",258.00,buckwheat29,297.25,1,Dec-7-2016
NBA $30K Pump Fake,$27.00,"1,284","$3,500.00",263.25,sbrown119,317.75,2,Dec-7-2016
NBA $30K Sky Hook,$9.00,"3,853","$2,500.00",265.00,Awesemo,320.75,100,Dec-7-2016
NBA $30K And-One,$1.00,"35,294","$1,000.00",262.25,xxmiddlefingerxx,351.50,2,Dec-7-2016
NBA $25K Sharpshooter,$3.00,"9,803","$1,000.00",247.75,nolefan31,301.75,73,Dec-7-2016
NBA $15K Sharpshooter,$3.00,"5,882",$700.00,257.50,FeistOfWinterveil,332.00,150,Dec-7-2016
NBA $15K Crossover,$27.00,642,"$1,500.00",245.00,aweibley76,286.25,1,Dec-7-2016
NBA Single Entry $5 Double Up,$5.00,"3,448",$10.00,246.00,guttilla32,320.00,1,Dec-7-2016
NBA $15K Hot Shot,$3.00,"5,882",$700.00,258.00,Tim_Nick,327.25,1,Dec-7-2016
Casual NBA $10K Zone,$5.00,"2,352",$500.00,259.50,Antlanta87,330.00,1,Dec-7-2016
NBA $5K High Five,$5.00,"1,176",$500.00,263.50,Fildough,314.25,1,Dec-7-2016
NBA $450K Four Point Play,$4.00,"132,352","$50,000.00",256.75,mykie824,335.00,6,Dec-8-2016
NBA $300K Money Ball,$333.00,"1,001","$37,500.00",265.00,ChipotleAddict,310.00,30,Dec-8-2016
NBA $250K Crossover,$27.00,"10,704","$25,000.00",261.75,petteytheft89,327.25,125,Dec-8-2016
NBA $135K All-Star,"$1,060.00",130,"$25,000.00",267.25,kingfi,299.00,4,Dec-8-2016
NBA $60K Sharpshooter,$3.00,"23,529","$1,708.33",280.75,gregrum,330.50,9,Dec-8-2016
NBA $50K Posterizer,$150.00,370,"$5,000.00",254.50,e4e5nf3nc6,302.00,1,Dec-8-2016
NBA $30K Pump Fake,$27.00,"1,284","$3,500.00",261.75,connor80,314.50,3,Dec-8-2016
NBA $30K And-One,$1.00,"35,294","$1,000.00",257.00,KindJason,331.00,50,Dec-8-2016
NBA $20K Sky Hook,$9.00,"2,569","$1,000.00",264.50,rikkidee,323.25,50,Dec-8-2016
NBA $15K Hot Shot,$3.00,"5,882",$700.00,253.50,Cnewburn4655,314.75,3,Dec-8-2016
NBA $15K Crossover,$27.00,642,"$1,500.00",286.00,kingfi,327.00,15,Dec-8-2016
Casual NBA $12K Zone,$5.00,"2,636",$500.00,252.25,flames87,314.75,1,Dec-8-2016
NBA Single Entry $5 Double Up,$5.00,"2,758",$10.00,248.75,JayDime,317.75,1,Dec-8-2016
NBA $5K High Five,$5.00,"1,176",$500.00,263.25,JDUECE,302.75,1,Dec-8-2016
NBA $400K Four Point Play,$4.00,"117,647","$30,000.00",262.50,hailmary7777,360.50,150,Dec-9-2016
NBA $400K Courtside Special,"$1,500.00",296,"$100,000.00",275.25,marcz06,322.25,2,Dec-9-2016
NBA $350K Triple Threat,$33.00,"12,261","$30,000.00",267.25,WJC80,353.75,21,Dec-9-2016
NBA $275K Money Ball,$333.00,917,"$50,000.00",271.00,marcz06,322.25,2,Dec-9-2016
NBA $100K Friday Night Special,$4.00,"29,411","$4,000.00",286.25,mrnastytime91,349.00,150,Dec-9-2016
NBA $45K Posterizer,$150.00,333,"$6,000.00",269.25,SZimm98,331.50,1,Dec-9-2016
NBA $30K Pump Fake,$27.00,"1,284","$3,500.00",272.75,blackout8,334.50,3,Dec-9-2016
NBA $30K Sky Hook,$9.00,"3,853","$2,500.00",271.50,pianoclub,349.00,100,Dec-9-2016
NBA $30K Sharpshooter,$3.00,"11,256","$1,000.00",279.75,stardeon,348.50,1,Dec-9-2016
NBA $30K And-One,$1.00,"35,294","$1,000.00",263.75,rgallegos72,355.00,6,Dec-9-2016
NBA $25K All-Star,"$1,060.00",25,"$10,000.00",264.00,Jazzraz,281.50,1,Dec-9-2016
NBA $20K Sharpshooter,$3.00,"7,843","$1,000.00",261.50,pianoclub,349.00,150,Dec-9-2016
NBA $20K Crossover,$27.00,856,"$1,500.00",287.00,AlBundyOnPEDs,349.00,1,Dec-9-2016
NBA $15K Hot Shot,$3.00,"5,882",$500.00,261.25,kjh95,349.00,3,Dec-9-2016
NBA Single Entry $5 Double Up,$5.00,"2,758",$10.00,254.00,Dezpair,346.00,1,Dec-9-2016
Casual NBA $10K Zone,$5.00,"2,352",$500.00,258.50,kjh95,349.00,1,Dec-9-2016
NBA $10K Zone,$5.00,"2,352",$500.00,262.50,643dp,334.50,1,Dec-9-2016
NBA $5K High Five,$5.00,"1,176",$500.00,272.75,Gunners06,337.00,1,Dec-9-2016
NBA $400K Sharpshooter,$3.00,"156,862","$25,000.00",246.50,Schaefercity,335.00,4,Nov-10-2016
NBA $300K Money Ball,$333.00,978,"$37,500.00",245.00,hskr54,302.00,1,Nov-10-2016
NBA $275K Crossover,$27.00,"11,251","$25,000.00",243.75,finsup2015,321.50,37,Nov-10-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",250.50,caguinaga,281.00,3,Nov-10-2016
NBA GIANT $25 Double Up,$25.00,"3,448",$50.00,225.25,doggy024,305.50,3,Nov-10-2016
NBA GIANT $5 Double Up,$5.00,"15,176",$10.00,225.50,ThaDirtyBird,318.25,1,Nov-10-2016
NBA $40K Posterizer,$150.00,296,"$6,000.00",246.75,kcajjack15,287.50,1,Nov-10-2016
NBA GIANT $10 Double Up,$10.00,"3,448",$20.00,222.75,Hoopihan,302.50,1,Nov-10-2016
NBA $25K Sky Hook,$9.00,"3,211","$1,000.00",247.00,ndiaz10457,304.50,1,Nov-10-2016
NBA $25K And-One,$1.00,"29,411","$1,000.00",248.75,t_snyder77,327.25,24,Nov-10-2016
Casual NBA $20K Zone,$5.00,"4,647","$2,500.00",250.75,Buchananboy,312.50,1,Nov-10-2016
NBA $15K Pump Fake,$27.00,642,"$1,500.00",242.75,cdaddy21,290.25,1,Nov-10-2016
NBA $15K Hot Shot,$3.00,"5,882",$700.00,243.75,mayostax305,318.25,1,Nov-10-2016
