PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,
7618128,7618145,7618183,7618205,7618213,7618160,7618193,7618127,,1. Locate the player you want to select in the list below ,,,,,,
7618128,7618145,7618183,7618187,7618229,7618160,7618193,7618127,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,
7618128,7618145,7618183,7618187,7618229,7618160,7618205,7618127,,3. Paste the ID into the roster position desired ,,,,,,
7618128,7618110,7618175,7618187,7618229,7618160,7618191,7618127,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,
7618128,7618145,7618183,7618187,7618229,7618160,7618193,7618127,,5. You can create up to 500 lineups per file ,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Stephen Curry (7618113),Stephen Curry,7618113,9600,SA@GS 10:30PM ET,GS
,,,,,,,,,SF/PF,Kevin Durant (7618161),Kevin Durant,7618161,9400,SA@GS 10:30PM ET,GS
,,,,,,,,,SF/PF,LeBron James (7618162),LeBron James,7618162,9000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,PG,Damian Lillard (7618128),Damian Lillard,7618128,8500,Uta@Por 10:00PM ET,Por
,,,,,,,,,PG,Kyrie Irving (7618123),Kyrie Irving,7618123,8000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SF,Kawhi Leonard (7618171),Kawhi Leonard,7618171,7800,SA@GS 10:30PM ET,SA
,,,,,,,,,SF,Carmelo Anthony (7618175),Carmelo Anthony,7618175,7600,NY@Cle 07:30PM ET,NY
,,,,,,,,,PF,Kristaps Porzingis (7618205),Kristaps Porzingis,7618205,7400,NY@Cle 07:30PM ET,NY
,,,,,,,,,PF/C,Draymond Green (7618188),Draymond Green,7618188,7200,SA@GS 10:30PM ET,GS
,,,,,,,,,PF/C,LaMarcus Aldridge (7618187),LaMarcus Aldridge,7618187,7100,SA@GS 10:30PM ET,SA
,,,,,,,,,PF/C,Kevin Love (7618189),Kevin Love,7618189,7000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,C,Rudy Gobert (7618229),Rudy Gobert,7618229,7000,Uta@Por 10:00PM ET,Uta
,,,,,,,,,C,Pau Gasol (7618213),Pau Gasol,7618213,6900,SA@GS 10:30PM ET,SA
,,,,,,,,,SF,Gordon Hayward (7618180),Gordon Hayward,7618180,6800,Uta@Por 10:00PM ET,Uta
,,,,,,,,,PF,Derrick Favors (7618207),Derrick Favors,7618207,6700,Uta@Por 10:00PM ET,Uta
,,,,,,,,,SG,Klay Thompson (7618145),Klay Thompson,7618145,6500,SA@GS 10:30PM ET,GS
,,,,,,,,,PG/SG,C.J. McCollum (7618110),C.J. McCollum,7618110,6300,Uta@Por 10:00PM ET,Por
,,,,,,,,,SG,Rodney Hood (7618160),Rodney Hood,7618160,6000,Uta@Por 10:00PM ET,Uta
,,,,,,,,,PG,Derrick Rose (7618121),Derrick Rose,7618121,5800,NY@Cle 07:30PM ET,NY
,,,,,,,,,C,Joakim Noah (7618220),Joakim Noah,7618220,5500,NY@Cle 07:30PM ET,NY
,,,,,,,,,PG,George Hill (7618127),George Hill,7618127,5300,Uta@Por 10:00PM ET,Uta
,,,,,,,,,C,Tristan Thompson (7618221),Tristan Thompson,7618221,5100,NY@Cle 07:30PM ET,Cle
,,,,,,,,,C,Mason Plumlee (7618228),Mason Plumlee,7618228,4900,Uta@Por 10:00PM ET,Por
,,,,,,,,,SG/SF,Evan Turner (7618140),Evan Turner,7618140,4700,Uta@Por 10:00PM ET,Por
,,,,,,,,,PG,Tony Parker (7618111),Tony Parker,7618111,4600,SA@GS 10:30PM ET,SA
,,,,,,,,,PG,Brandon Jennings (7618122),Brandon Jennings,7618122,4500,NY@Cle 07:30PM ET,NY
,,,,,,,,,PF,Al-Farouq Aminu (7618206),Al-Farouq Aminu,7618206,4400,Uta@Por 10:00PM ET,Por
,,,,,,,,,SG/SF,Joe Johnson (7618139),Joe Johnson,7618139,4300,Uta@Por 10:00PM ET,Uta
,,,,,,,,,SG,Danny Green (7618143),Danny Green,7618143,4200,SA@GS 10:30PM ET,SA
,,,,,,,,,SG,J.R. Smith (7618151),J.R. Smith,7618151,4100,NY@Cle 07:30PM ET,Cle
,,,,,,,,,C,Zaza Pachulia (7618214),Zaza Pachulia,7618214,4000,SA@GS 10:30PM ET,GS
,,,,,,,,,SG,Manu Ginobili (7618142),Manu Ginobili,7618142,3900,SA@GS 10:30PM ET,SA
,,,,,,,,,PF/C,Ed Davis (7618192),Ed Davis,7618192,3800,Uta@Por 10:00PM ET,Por
,,,,,,,,,SG,Courtney Lee (7618153),Courtney Lee,7618153,3700,NY@Cle 07:30PM ET,NY
,,,,,,,,,SF,Maurice Harkless (7618183),Maurice Harkless,7618183,3700,Uta@Por 10:00PM ET,Por
,,,,,,,,,PG,Patty Mills (7618114),Patty Mills,7618114,3600,SA@GS 10:30PM ET,SA
,,,,,,,,,PF/C,Trey Lyles (7618193),Trey Lyles,7618193,3600,Uta@Por 10:00PM ET,Uta
,,,,,,,,,PF,Meyers Leonard (7618208),Meyers Leonard,7618208,3600,Uta@Por 10:00PM ET,Por
,,,,,,,,,SF,Andre Iguodala (7618170),Andre Iguodala,7618170,3500,SA@GS 10:30PM ET,GS
,,,,,,,,,SF,Kyle Anderson (7618173),Kyle Anderson,7618173,3500,SA@GS 10:30PM ET,SA
,,,,,,,,,SF,Joe Ingles (7618181),Joe Ingles,7618181,3500,Uta@Por 10:00PM ET,Uta
,,,,,,,,,PG,Jordan McRae (7618124),Jordan McRae,7618124,3400,NY@Cle 07:30PM ET,Cle
,,,,,,,,,PG,Dante Exum (7618133),Dante Exum,7618133,3400,Uta@Por 10:00PM ET,Uta
,,,,,,,,,SG/SF,Allen Crabbe (7618141),Allen Crabbe,7618141,3400,Uta@Por 10:00PM ET,Por
,,,,,,,,,PF,David Lee (7618195),David Lee,7618195,3300,SA@GS 10:30PM ET,SA
,,,,,,,,,SG,Alec Burks (7618159),Alec Burks,7618159,3300,Uta@Por 10:00PM ET,Uta
,,,,,,,,,C,Festus Ezeli (7618225),Festus Ezeli,7618225,3300,Uta@Por 10:00PM ET,Por
,,,,,,,,,C,Dewayne Dedmon (7618217),Dewayne Dedmon,7618217,3200,SA@GS 10:30PM ET,SA
,,,,,,,,,PF/C,Kyle O'Quinn (7618190),Kyle O'Quinn,7618190,3200,NY@Cle 07:30PM ET,NY
,,,,,,,,,PF,Channing Frye (7618200),Channing Frye,7618200,3200,NY@Cle 07:30PM ET,Cle
,,,,,,,,,PF,David West (7618194),David West,7618194,3100,SA@GS 10:30PM ET,GS
,,,,,,,,,PG,Kay Felder (7618126),Kay Felder,7618126,3100,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG,Iman Shumpert (7618155),Iman Shumpert,7618155,3100,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SF/PF,Lance Thomas (7618163),Lance Thomas,7618163,3100,NY@Cle 07:30PM ET,NY
,,,,,,,,,PF/C,Boris Diaw (7618191),Boris Diaw,7618191,3100,Uta@Por 10:00PM ET,Uta
,,,,,,,,,PG/SG,Ian Clark (7618109),Ian Clark,7618109,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,PG,Shaun Livingston (7618112),Shaun Livingston,7618112,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,PG,Phil Pressey (7618115),Phil Pressey,7618115,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,PG,Nicolas Laprovittola (7618116),Nicolas Laprovittola,7618116,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,PG,Ryan Arcidiacono (7618117),Ryan Arcidiacono,7618117,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,PG,Bryn Forbes (7618118),Bryn Forbes,7618118,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,PG,Dejounte Murray (7618119),Dejounte Murray,7618119,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,SG/SF,Patrick McCaw (7618136),Patrick McCaw,7618136,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,SG,Cameron Jones (7618144),Cameron Jones,7618144,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,SG,Elliot Williams (7618146),Elliot Williams,7618146,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,SG,Jonathon Simmons (7618147),Jonathon Simmons,7618147,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,SG,Patricio Garino (7618148),Patricio Garino,7618148,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,SF,Davis Bertans (7618172),Davis Bertans,7618172,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,PF,Joel Anthony (7618196),Joel Anthony,7618196,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,PF,James Michael McAdoo (7618197),James Michael McAdoo,7618197,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,PF,Livio Jean-Charles (7618198),Livio Jean-Charles,7618198,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,PF,Kevon Looney (7618199),Kevon Looney,7618199,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,C,Anderson Varejao (7618215),Anderson Varejao,7618215,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,C,JaVale McGee (7618216),JaVale McGee,7618216,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,C,Damian Jones (7618218),Damian Jones,7618218,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,PG,Mo Williams (7618120),Mo Williams,7618120,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,PG,Chasson Randle (7618125),Chasson Randle,7618125,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,SG/SF,Mike Dunleavy (7618137),Mike Dunleavy,7618137,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG/SF,Justin Holiday (7618138),Justin Holiday,7618138,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,SG,Dahntay Jones (7618149),Dahntay Jones,7618149,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG,James Jones (7618150),James Jones,7618150,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG,Sasha Vujacic (7618152),Sasha Vujacic,7618152,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,SG,John Holland (7618154),John Holland,7618154,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG,DeAndre Liggins (7618156),DeAndre Liggins,7618156,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG,Markel Brown (7618157),Markel Brown,7618157,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG,Ron Baker (7618158),Ron Baker,7618158,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,SF,Richard Jefferson (7618174),Richard Jefferson,7618174,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SF,Mindaugas Kuzminskas (7618176),Mindaugas Kuzminskas,7618176,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,SF,J.P. Tokoto (7618177),J.P. Tokoto,7618177,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,SF,Damien Inglis (7618178),Damien Inglis,7618178,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,PF,Louis Amundson (7618201),Louis Amundson,7618201,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,PF,Cory Jefferson (7618202),Cory Jefferson,7618202,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,PF,Jonathan Holmes (7618203),Jonathan Holmes,7618203,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,PF,Maurice Ndour (7618204),Maurice Ndour,7618204,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,C,Chris Andersen (7618219),Chris Andersen,7618219,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,C,Marshall Plumlee (7618222),Marshall Plumlee,7618222,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,C,Guillermo Hernangomez (7618223),Guillermo Hernangomez,7618223,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,PG,Shelvin Mack (7618129),Shelvin Mack,7618129,3000,Uta@Por 10:00PM ET,Uta
,,,,,,,,,PG,Shabazz Napier (7618130),Shabazz Napier,7618130,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,PG,Raul Neto (7618131),Raul Neto,7618131,3000,Uta@Por 10:00PM ET,Uta
,,,,,,,,,PG,Tim Quarterman (7618132),Tim Quarterman,7618132,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,SF,Chris Johnson (7618179),Chris Johnson,7618179,3000,Uta@Por 10:00PM ET,Uta
,,,,,,,,,SF,Pat Connaughton (7618182),Pat Connaughton,7618182,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,PF,Joel Bolomboy (7618209),Joel Bolomboy,7618209,3000,Uta@Por 10:00PM ET,Uta
,,,,,,,,,PF,Grant Jerrett (7618210),Grant Jerrett,7618210,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,PF,Jake Layman (7618211),Jake Layman,7618211,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,PF,Noah Vonleh (7618212),Noah Vonleh,7618212,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,C,Greg Stiemsma (7618224),Greg Stiemsma,7618224,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,C,Jeff Withey (7618226),Jeff Withey,7618226,3000,Uta@Por 10:00PM ET,Uta
,,,,,,,,,C,Henry Sims (7618227),Henry Sims,7618227,3000,Uta@Por 10:00PM ET,Uta