Name,Salary,Projected,Scored,Override
A.J. Hammons,0.0,1.94981650346,3.34217024557,0.0
Aaron Brooks,0.0,4.21953698978,6.35454200408,0.0
Aaron Gordon,705.889894379,5.31220952005,6.74789084974,0.0
Aaron Harrison,0.0,1.05922220212,0.747376363402,0.0
Adreian Payne,0.0,4.42696692671,6.0764923159,0.0
Al Horford,337.044938814,18.6608778337,20.1991305725,0.0
Al Jefferson,215.709555293,3.57032325753,7.73115879584,0.0
Al-Farouq Aminu,282.001432313,11.4636895116,11.6891367918,0.0
Alan Anderson,0.0,2.06956345589,2.60955856772,0.0
Alan Williams,369.224228095,7.3233228323,11.2118923743,0.0
Alec Burks,69.9854212224,0.0,0.0,0.0
Alex Abrines,0.0,3.20827981903,4.69238811328,0.0
Alex Len,437.991706193,6.24861344293,10.703489799,0.0
Alexis Ajinca,87.5336608385,4.9227232068,6.9629554694,0.0
Allen Crabbe,220.792043527,3.12895103688,7.37346082436,0.0
Alonzo Gee,0.0,4.03516395555,6.07702434319,0.0
Amir Johnson,484.877698991,4.10293043087,9.62439553228,0.0
Anderson Varejao,0.0,2.54314922762,3.73267743646,0.0
Andre Drummond,298.437358104,8.60945444743,13.8548450287,0.0
Andre Iguodala,93.2082764857,3.77087193009,6.78705404164,0.0
Andre Roberson,305.85306814,2.57050357955,8.19438459128,0.0
Andrew Bogut,295.594124645,10.1355102178,11.4806681098,0.0
Andrew Harrison,809.008480157,7.19763690901,9.73843437481,0.0
Andrew Nicholson,88.5743226224,4.60353050822,6.00816674476,0.0
Andrew Wiggins,481.9986463,4.33158658876,12.3227683808,0.0
Anthony Bennett,84.0979415213,4.31130037435,7.42436906671,0.0
Anthony Brown,0.0,5.8517643763,8.06878325139,0.0
Anthony Davis,371.860918875,16.5286694618,22.7820370118,0.0
Anthony Morrow,100.970468262,4.95564925862,7.59397390806,0.0
Anthony Tolliver,0.0,3.43167749781,5.24779837218,0.0
Archie Goodwin,0.0,3.55947604248,4.05268336096,0.0
Arinze Onuaku,0.0,1.05601723385,0.577431902314,0.0
Aron Baynes,434.486225953,1.95505011836,6.74399906425,0.0
Arron Afflalo,298.950545361,3.53921181125,7.23335527756,0.0
Austin Rivers,57.1428571429,3.77610195296,8.42403025364,0.0
Avery Bradley,667.468489441,3.10909096541,8.04871443636,0.0
Ben McLemore,19.7948663722,3.76862982734,7.2527264402,0.0
Ben Simmons,0.0,0.0,0.0,0.0
Beno Udrih,105.647468649,3.60504648805,7.66695151612,0.0
Bismack Biyombo,406.304019497,6.47637527106,8.91653098951,0.0
Blake Griffin,261.736742642,12.181752858,14.3739560402,0.0
Boban Marjanovic,0.0,2.45974664234,3.55023473402,0.0
Bobby Brown,0.0,0.345653616738,0.638714228175,0.0
Bobby Portis,154.311557369,3.45345646054,6.58387476452,0.0
Bojan Bogdanovic,232.108586949,2.76463176432,7.52289580897,0.0
Boris Diaw,169.705627485,6.52913345502,8.32157265357,0.0
Bradley Beal,681.374002587,12.6640944299,14.9352224478,0.0
Brandan Wright,38.836781869,0.0,0.0,0.0
Brandon Bass,0.0,3.33155956616,4.46414285486,0.0
Brandon Ingram,458.722438226,6.23818329465,6.36236861958,0.0
Brandon Jennings,469.476477862,2.97389825938,7.79911036266,0.0
Brandon Knight,506.287004191,3.3733759509,8.10486122708,0.0
Brandon Rush,0.0,2.80284806393,3.31085617583,0.0
Brian Roberts,0.0,1.12209236042,1.74127562905,0.0
Brice Johnson,0.0,0.0,0.0,0.0
Brook Lopez,310.710577229,10.9530049612,14.4412101544,0.0
Bruno Caboclo,0.0,1.61351731338,1.85894425921,0.0
Bryn Forbes,0.0,0.892600690627,2.02860746005,0.0
Buddy Hield,274.644978569,5.67154577901,8.10566646294,0.0
C.J. McCollum,319.109522721,3.66999768649,11.0214992239,0.0
C.J. Miles,745.752598906,10.6666764405,11.7494507036,0.0
C.J. Watson,0.0,3.10362715356,4.73423596751,0.0
C.J. Wilcox,0.0,1.6153092994,2.3003418003,0.0
Cameron Jones,0.0,0.0,0.0,0.0
Cameron Payne,60.582280957,0.0,0.0,0.0
Caris LeVert,0.0,1.56265252009,3.31913643387,0.0
Carmelo Anthony,160.814254623,3.19436841191,11.1750907406,0.0
Chandler Parsons,1039.69481541,7.65380746938,6.59024829191,0.0
Channing Frye,210.506285906,8.00787969498,10.6266399058,0.0
Chasson Randle,0.0,0.0,0.0,0.0
Cheick Diallo,0.0,3.269564318,7.51063223244,0.0
Chinanu Onuaku,0.0,0.0,0.0,0.0
Chris Andersen,0.0,3.23842077766,5.12441663776,0.0
Chris Bosh,0.0,0.0,0.0,0.0
Chris Johnson,0.0,0.0,0.0,0.0
Chris McCullough,0.0,3.26180087184,5.08314920075,0.0
Chris Paul,224.463078187,2.9914633918,11.0539216423,0.0
Christian Wood,0.0,1.20361116509,0.494871659305,0.0
Clint Capela,396.438041272,3.77078344664,7.04531935562,0.0
Cody Zeller,246.576560119,7.65626327571,10.1290952917,0.0
Cole Aldrich,274.152465734,3.11089357987,8.13924011256,0.0
Corey Brewer,112.27815005,2.30548248054,4.50526681541,0.0
Cory Jefferson,0.0,0.0,0.0,0.0
Cory Joseph,108.830012548,3.38883900285,6.72519740542,0.0
Courtney Lee,96.974644277,5.66068648033,8.58229073649,0.0
Cristiano Felicio,0.0,3.9797761796,6.20280049998,0.0
D'Angelo Russell,265.300483623,15.0631962664,16.7431108521,0.0
D.J. Augustin,434.971956933,2.9944583558,5.79016563662,0.0
Dahntay Jones,0.0,0.0,0.0,0.0
Damian Jones,0.0,0.0,0.194183909345,0.0
Damian Lillard,400.314341895,2.06130202487,12.553456625,0.0
Damien Inglis,0.0,0.0,0.0,0.0
Damjan Rudez,0.0,2.47346536666,4.45164229868,0.0
Daniel Ochefu,0.0,0.703628140701,0.852815739765,0.0
Danilo Gallinari,222.196823945,9.78692050126,10.9215663824,0.0
Danny Green,208.336879402,9.37903649273,10.3886360445,0.0
Dante Cunningham,157.13306271,7.13514096929,9.5882274866,0.0
Dante Exum,257.015841646,3.61973421056,6.22290043275,0.0
Danuel House,0.0,0.253607022259,0.257730713678,0.0
Dario Saric,322.895067305,5.32714383021,10.4852374356,0.0
Darrell Arthur,54.8095031236,5.9715821443,6.59324019937,0.0
Darren Collison,346.410161514,12.6761281284,12.8042563076,0.0
Darrun Hilliard,0.0,3.22243324494,5.29824133433,0.0
David Lee,272.498292011,4.28369742775,7.33567016281,0.0
David West,19.4183909345,2.84813148242,6.22325347879,0.0
Davis Bertans,40.3881873047,2.92133992379,6.58290688986,0.0
DeAndre Jordan,398.896436869,2.74864846937,8.10212872003,0.0
DeAndre Liggins,0.0,4.15932384426,7.00412329481,0.0
DeAndre' Bembry,0.0,1.19012604374,1.679589357,0.0
DeMar DeRozan,448.460724341,3.4883512078,7.8200052602,0.0
DeMarcus Cousins,494.772675074,4.71771245155,16.2640331871,0.0
DeMarre Carroll,433.360610162,7.76016751254,10.986890762,0.0
Dejounte Murray,0.0,1.09440282949,2.6204156186,0.0
Delon Wright,0.0,0.0,0.0,0.0
Demetrius Jackson,0.0,2.84073181936,3.11112166496,0.0
Dennis Schroder,376.7530453,3.29733265114,9.84820505763,0.0
Denzel Valentine,44.3631052383,3.15518980333,4.07148828366,0.0
Deron Williams,562.274383437,14.516225252,14.9345758511,0.0
Derrick Favors,332.314087967,13.7791097369,14.1729333878,0.0
Derrick Jones Jr.,0.0,0.0,0.0,0.0
Derrick Rose,326.415285757,8.67878063475,12.8167062533,0.0
Derrick Williams,239.045721867,5.67012579495,7.89042302479,0.0
Devin Booker,311.048260577,9.07010621633,11.0784493868,0.0
Devin Harris,0.0,4.15797277392,5.35180754247,0.0
Dewayne Dedmon,261.711497266,7.87669899493,9.34830715323,0.0
Deyonta Davis,0.0,3.06036768658,6.47724873162,0.0
Diamond Stone,0.0,0.814125698563,2.08981983405,0.0
Dion Waiters,609.529761876,12.4991661044,15.8813007744,0.0
Dirk Nowitzki,327.871926215,12.6012879,11.2296308902,0.0
Domantas Sabonis,344.768397953,4.31711074826,7.06090525207,0.0
Donatas Motiejunas,0.0,0.0,0.0,0.0
Dorian Finney-Smith,20.1940936523,5.18948028937,9.23882783238,0.0
Doug McDermott,147.256229624,7.47297845005,9.939355117,0.0
Dragan Bender,0.0,2.90118073078,5.61862791007,0.0
Draymond Green,237.254278697,8.23995384493,11.6644134325,0.0
Dwight Howard,285.714285714,8.19209241418,13.912789594,0.0
Dwight Powell,461.707438607,5.57227476883,7.00872524857,0.0
Dwyane Wade,206.112274024,10.0074146625,13.774104436,0.0
E'Twaun Moore,257.027913691,7.58383069988,8.99088800504,0.0
Ed Davis,281.505387193,4.55848639168,7.67296478159,0.0
Elfrid Payton,548.850437199,2.5896889463,12.3983993092,0.0
Elliot Williams,0.0,0.0,0.0,0.0
Emmanuel Mudiay,466.231089237,7.45704604206,13.0029431519,0.0
Enes Kanter,517.700863817,2.92367736963,11.0095411152,0.0
Eric Bledsoe,383.453693024,5.38831137079,12.0901629772,0.0
Eric Gordon,272.07503137,2.5283571531,8.56410950603,0.0
Ersan Ilyasova,488.228785447,6.38650521149,12.688352364,0.0
Evan Fournier,330.751691983,2.2035545123,9.21393953473,0.0
Evan Turner,305.550790891,3.31716346374,7.91948256221,0.0
Festus Ezeli,57.1877631279,0.0,0.0,0.0
Frank Kaminsky,457.963549035,7.77630729216,10.7654777044,0.0
Fred VanVleet,0.0,1.16011982751,2.08206521689,0.0
Garrett Temple,106.44534863,2.09748942251,7.35107933211,0.0
Gary Harris,353.96298665,7.05042993623,8.30973120221,0.0
George Hill,448.780660939,16.4306339376,17.7532520735,0.0
Georges Niang,0.0,1.4178434904,2.48657620524,0.0
Georgios Papagiannis,0.0,0.0,0.544358825236,0.0
Gerald Green,0.0,3.34846254547,5.76919206888,0.0
Gerald Henderson,104.900341432,4.54492287265,9.14127218405,0.0
Giannis Antetokounmpo,466.542426526,4.28474070377,11.1939532504,0.0
Glenn Robinson III,776.659513558,6.92251286214,10.5418311541,0.0
Goran Dragic,485.310756745,14.849257215,17.9411282152,0.0
Gordon Hayward,568.506816142,17.8310190811,19.1916329558,0.0
Gorgui Dieng,381.393488287,3.80523433356,9.41102416778,0.0
Grant Jerrett,0.0,0.0,0.0,0.0
Greg Monroe,788.516616252,7.70175842899,11.423152183,0.0
Greg Stiemsma,0.0,0.0,0.0,0.0
Greivis Vasquez,161.245154966,4.51923887397,4.07021702943,0.0
Guillermo Hernangomez,183.450780724,5.38712130324,8.32023926709,0.0
Harrison Barnes,417.502707342,3.99675071928,9.13122783685,0.0
Hassan Whiteside,383.411113079,3.66477315611,13.3627413783,0.0
Henry Ellenson,0.0,1.19151651851,1.28894826583,0.0
Henry Sims,0.0,0.0,0.0,0.0
Hollis Thompson,98.9743318611,3.12932531034,8.93830326774,0.0
Ian Clark,19.4183909345,3.86600803149,8.27581203609,0.0
Ian Mahinmi,0.0,0.0,1.08246899745,0.0
Iman Shumpert,291.964259737,4.53903476249,7.43232326904,0.0
Isaiah Canaan,103.056137012,3.87955716929,7.30235285846,0.0
Isaiah Thomas,270.50648581,13.9389809807,15.2309896334,0.0
Isaiah Whitehead,362.226075081,7.09322864149,8.81880128128,0.0
Ish Smith,419.868542237,3.5589363444,8.96644069983,0.0
Ivica Zubac,0.0,3.47345988173,2.31102694977,0.0
J.J. Barea,744.328437382,14.6383867024,15.2921860116,0.0
J.J. Redick,365.892813568,5.35182358393,9.09297777947,0.0
J.P. Tokoto,0.0,0.0,0.0,0.0
J.R. Smith,270.30638008,8.52293649581,10.1404773647,0.0
JaMychal Green,732.081064341,4.60233288932,8.69328202337,0.0
JaVale McGee,0.0,3.99028656588,6.84671784499,0.0
Jabari Parker,257.524446567,2.8566178441,9.94574654795,0.0
Jae Crowder,241.412803811,13.4867054055,13.8975122461,0.0
Jahlil Okafor,296.537845608,8.95393730747,11.3028531706,0.0
Jake Layman,0.0,3.17185504563,5.67084258514,0.0
Jakob Poeltl,104.423442383,3.2005029525,5.830153642,0.0
Jamal Crawford,171.428571429,2.67204313787,6.9141971659,0.0
Jamal Murray,436.198793849,6.7458535231,10.3735043181,0.0
Jameer Nelson,651.603986407,5.70420373452,10.6550457531,0.0
James Ennis,426.798386531,10.2610091339,11.6429569464,0.0
James Harden,344.536897529,3.4507381264,8.84830166619,0.0
James Johnson,702.229685083,9.1741282542,11.7400239891,0.0
James Jones,0.0,2.47733220248,3.81456053734,0.0
James Michael McAdoo,0.0,1.93907349865,2.52664906651,0.0
James Young,0.0,2.55289947798,4.66424788507,0.0
Jared Dudley,240.950498769,4.89704283945,8.17786958935,0.0
Jared Sullinger,0.0,0.0,0.0,0.0
Jarell Martin,97.3246964081,4.69224971529,8.02219888574,0.0
Jarnell Stokes,0.0,0.992192028614,2.78135411912,0.0
Jason Smith,45.2582498418,1.69466842267,3.54668655328,0.0
Jason Terry,20.6184570942,3.68415455466,5.67969516771,0.0
Jaylen Brown,406.136440757,4.70679657969,8.06827580516,0.0
Jeff Green,240.537357205,4.24877419994,8.22256510604,0.0
Jeff Teague,367.80651524,2.99351696784,10.4899660512,0.0
Jeff Withey,0.0,2.97236677496,5.8048537045,0.0
Jerami Grant,374.355237671,5.33395306683,6.01501519544,0.0
Jeremy Lamb,491.661074568,9.21921875481,13.5307887759,0.0
Jeremy Lin,313.003218023,13.1472390739,14.7212915575,0.0
Jerian Grant,373.216800455,5.73220612476,8.84708049773,0.0
Jerryd Bayless,261.986134545,5.30408030844,7.56916408185,0.0
Jimmy Butler,656.865002269,4.47081217731,11.6491208614,0.0
Joakim Noah,496.945773743,8.70421735923,11.86451578,0.0
Jodie Meeks,0.0,6.33002169512,8.79582377251,0.0
Joe Harris,196.589274873,3.48463370777,6.78855957202,0.0
Joe Ingles,292.602676903,3.1942025545,10.5487401318,0.0
Joe Johnson,622.647408987,5.16248328159,8.8396486217,0.0
Joe Young,0.0,2.86317893829,6.35914896116,0.0
Joel Anthony,0.0,0.0,0.0,0.0
Joel Bolomboy,0.0,1.41642112958,2.28026135273,0.0
Joel Embiid,578.724847384,18.1114628084,18.4751791574,0.0
Joffrey Lauvergne,40.3881873047,4.29493002692,8.33089503335,0.0
John Henson,628.870623316,6.25792066221,11.1627615928,0.0
John Holland,0.0,0.0,0.0,0.0
John Jenkins,0.0,0.531850830706,0.925599640167,0.0
John Lucas III,0.0,1.75718782222,0.0,0.0
John Wall,363.238253747,14.0914565819,16.6533062392,0.0
Jon Leuer,495.424007502,2.43123664292,6.96922777262,0.0
Jonas Jerebko,27.9310193865,1.3149966966,4.5282799327,0.0
Jonas Valanciunas,579.297079557,8.01445338876,12.020220663,0.0
Jonathan Gibson,374.412360085,7.02926401662,11.4089371176,0.0
Jonathan Holmes,0.0,0.0,0.0,0.0
Jonathon Simmons,404.145188433,4.3901766552,6.81944835647,0.0
Jordan Clarkson,439.680971948,3.73147430504,7.56267776905,0.0
Jordan Farmar,0.0,8.45009033482,12.2494897853,0.0
Jordan Hill,63.0208791249,2.16726123866,1.36310132153,0.0
Jordan McRae,85.8978202166,3.53261601346,4.91875052888,0.0
Jordan Mickey,0.0,2.6157078358,3.4683057108,0.0
Jose Calderon,223.74738676,8.15593282535,8.49368779477,0.0
Josh Huestis,0.0,0.0,0.0,0.0
