A,,
NAME,PG,
"Augustin, D.J.",,
B,,
NAME,,
"Baldwin IV, Wade",,
"Barea, J.J.",,
"Bayless, Jerryd",,
"Beverley, Patrick",,
"Bledsoe, Eric",,
"Brooks, Aaron",,
"Brown, Bobby",,
"Burke, Trey",,
C,,
NAME,,
"Calderon, Jose",,
"Canaan, Isaiah",,
"Carter-Williams, Michael",,
"Christon, Semaj",,
"Clarkson, Jordan",,
"Collison, Darren",,
"Conley, Mike",,
"Curry, Stephen",,
D,,
NAME,,
"Delaney, Malcolm",,
"Dellavedova, Matthew",,
"Dinwiddie, Spencer",,
"Dragic, Goran",,
"Dunn, Kris",,
E,,
NAME,,
"Ennis, Tyler",,
"Exum, Dante",,
F,,
NAME,,
"Felder, Kay",,
"Felton, Raymond",,
"Frazier, Tim",,
G,,
NAME,,
"Gibson, Jonathan",,
"Grant, Jerian",,
H,,
NAME,,
"Harris, Devin",,
"Harrison, Andrew",,
"Hill, George",,
"Holiday, Jrue",,
"Huertas, Marcelo",,
I,,
NAME,,
"Irving, Kyrie",,
J,,
NAME,,
"Jackson, Demetrius",,
"Jackson, Reggie",,
"Jennings, Brandon",,
"Jones, Tyus",,
"Joseph, Cory",,
K,,
NAME,,
"Knight, Brandon",,
L,,
NAME,,
"LaVine, Zach",,
"Lawson, Ty",,
"Lillard, Damian",,
"Lin, Jeremy",,
"Livingston, Shaun",,
"Lowry, Kyle",,
M,,
NAME,,
"Mack, Shelvin",,
"McCaw, Patrick",,
"McConnell, T.J.",,
"Mills, Patty",,
"Mudiay, Emmanuel",,
"Murray, Dejounte",,
N,,
NAME,,
"Napier, Shabazz",,
"Nelson, Jameer",,
"Neto, Raul",,
P,,
NAME,,
"Parker, Tony",,
"Paul, Chris",,
"Payne, Cameron",,
"Payton, Elfrid",,
R,,
NAME,,
"Randle, Chasson",,
"Rivers, Austin",,
"Roberts, Brian",,
"Rodriguez, Sergio",,
"Rondo, Rajon",,
"Rose, Derrick",,
"Rozier, Terry",,
"Rubio, Ricky",,
"Russell, D'Angelo",,
S,,
NAME,,
"Schroder, Dennis",,
"Sessions, Ramon",,
"Smart, Marcus",,
"Smith, Ish",,
"Stuckey, Rodney",,
T,,
NAME,,
"Teague, Jeff",,
"Thomas, Isaiah",,
U,,
NAME,,
"Udrih, Beno",,
"Ulis, Tyler",,
V,,
NAME,,
"VanVleet, Fred",,
W,,
NAME,,
"Walker, Kemba",,
"Wall, John",,
"Watson, C.J.",,
"Westbrook, Russell",,
"Whitehead, Isaiah",,
"Williams, Deron",,
"Williams, Mo",,
"Wright, Delon",,
Y,,
NAME,,
"Young, Joe",,
A,,
NAME,,COLLEGE
"Abrines, Alex",sg,
"Afflalo, Arron",Sacramento Kings,UCLA
"Allen, Tony",Memphis Grizzlies,Oklahoma State
"Anderson, Alan",LA Clippers,Michigan State
"Anderson, Justin",Dallas Mavericks,Virginia
"Anderson, Kyle",San Antonio Spurs,UCLA
B,,
NAME,TEAM,COLLEGE
"Baker, Ron",New York Knicks,Wichita State
"Barbosa, Leandro",Phoenix Suns,
"Barton, Will",Denver Nuggets,Memphis
"Batum, Nicolas",Charlotte Hornets,
"Beal, Bradley",Washington Wizards,Florida
"Beasley, Malik",Denver Nuggets,Florida State
"Belinelli, Marco",Charlotte Hornets,
"Bogdanovic, Bojan",Brooklyn Nets,
"Booker, Devin",Phoenix Suns,Kentucky
"Bradley, Avery",Boston Celtics,Texas
"Brogdon, Malcolm",Milwaukee Bucks,Virginia
"Burks, Alec",Utah Jazz,Colorado
C,,
NAME,TEAM,COLLEGE
"Caldwell-Pope, Kentavious",Detroit Pistons,Georgia
"Carter, Vince",Memphis Grizzlies,North Carolina
"Clark, Ian",Golden State Warriors,Belmont
"Connaughton, Pat",Portland Trail Blazers,Notre Dame
"Crabbe, Allen",Portland Trail Blazers,California
"Crawford, Jamal",LA Clippers,Michigan
"Curry, Seth",Dallas Mavericks,Duke
D,,
NAME,TEAM,COLLEGE
"Daniels, Troy",Memphis Grizzlies,Virginia Commonwealth
"DeRozan, DeMar",Toronto Raptors,USC
"Dunleavy, Mike",Atlanta Hawks,Duke
E,,
NAME,TEAM,COLLEGE
"Ellington, Wayne",Miami Heat,North Carolina
"Ellis, Monta",Indiana Pacers,
"Evans, Tyreke",New Orleans Pelicans,Memphis
F,,
NAME,TEAM,COLLEGE
"Forbes, Bryn",San Antonio Spurs,Michigan State
"Fournier, Evan",Orlando Magic,
"Foye, Randy",Brooklyn Nets,Villanova
G,,
NAME,TEAM,COLLEGE
"Galloway, Langston",New Orleans Pelicans,Saint Joseph's
"Gbinije, Michael",Detroit Pistons,Syracuse
"Ginobili, Manu",San Antonio Spurs,
"Gordon, Eric",Houston Rockets,Indiana
"Graham, Treveon",Charlotte Hornets,Virginia Commonwealth
"Green, Danny",San Antonio Spurs,North Carolina
H,,
NAME,TEAM,COLLEGE
"Hardaway Jr., Tim",Atlanta Hawks,Michigan
"Harden, James",Houston Rockets,Arizona State
"Harris, Gary",Denver Nuggets,Michigan State
"Harrison, Aaron",Charlotte Hornets,Kentucky
"Henderson, Gerald",Philadelphia 76ers,Duke
"Hezonja, Mario",Orlando Magic,
"Hield, Buddy",New Orleans Pelicans,Oklahoma
"Hilliard, Darrun",Detroit Pistons,Villanova
"Holiday, Justin",New York Knicks,Washington
"Hood, Rodney",Utah Jazz,Duke
J,,
NAME,TEAM,COLLEGE
"Johnson, Tyler",Miami Heat,Fresno State
"Jones, James",Cleveland Cavaliers,Miami (FL)
K,,
NAME,TEAM,COLLEGE
"Kilpatrick, Sean",Brooklyn Nets,Cincinnati
"Korver, Kyle",Cleveland Cavaliers,Creighton
L,,
NAME,TEAM,COLLEGE
"Lamb, Jeremy",Charlotte Hornets,Connecticut
"Lee, Courtney",New York Knicks,Western Kentucky
"LeVert, Caris",Brooklyn Nets,Michigan
"Liggins, DeAndre",Cleveland Cavaliers,Kentucky
"Luwawu-Cabarrot, Timothe",Philadelphia 76ers,
M,,
NAME,TEAM,COLLEGE
"Matthews, Wesley",Dallas Mavericks,Marquette
"McClellan, Sheldon",Washington Wizards,Miami (FL)
"McCollum, C.J.",Portland Trail Blazers,Lehigh
"McDaniels, K.J.",Houston Rockets,Clemson
"McGruder, Rodney",Miami Heat,Kansas State
"McLemore, Ben",Sacramento Kings,Kansas
"McRae, Jordan",Cleveland Cavaliers,Tennessee
"Meeks, Jodie",Orlando Magic,Kentucky
"Middleton, Khris",Milwaukee Bucks,Texas A&M
"Miller, Mike",Denver Nuggets,Florida
"Moore, E'Twaun",New Orleans Pelicans,Purdue
"Morrow, Anthony",Oklahoma City Thunder,Georgia Tech
"Murray, Jamal",Denver Nuggets,Kentucky
O,,
NAME,TEAM,COLLEGE
"Oladipo, Victor",Oklahoma City Thunder,Indiana
P,,
NAME,TEAM,COLLEGE
"Pondexter, Quincy",New Orleans Pelicans,Washington
"Powell, Norman",Toronto Raptors,UCLA
Q,,
NAME,TEAM,COLLEGE
"Quarterman, Tim",Portland Trail Blazers,LSU
R,,
NAME,TEAM,COLLEGE
"Redick, J.J.",LA Clippers,Duke
"Richardson, Josh",Miami Heat,Tennessee
"Richardson, Malachi",Sacramento Kings,Syracuse
"Robinson III, Glenn",Indiana Pacers,Michigan
"Rush, Brandon",Minnesota Timberwolves,Kansas
S,,
NAME,TEAM,COLLEGE
"Satoransky, Tomas",Washington Wizards,
"Shumpert, Iman",Cleveland Cavaliers,Georgia Tech
"Simmons, Jonathon",San Antonio Spurs,Houston
"Smith, J.R.",Cleveland Cavaliers,
"Snell, Tony",Milwaukee Bucks,New Mexico
"Stauskas, Nik",Philadelphia 76ers,Michigan
T,,
NAME,TEAM,COLLEGE
"Temple, Garrett",Sacramento Kings,LSU
"Terry, Jason",Milwaukee Bucks,Arizona
"Thompson, Klay",Golden State Warriors,Washington State
"Thornton, Marcus",Washington Wizards,LSU
"Turner, Evan",Portland Trail Blazers,Ohio State
V,,
NAME,TEAM,COLLEGE
"Valentine, Denzel",Chicago Bulls,Michigan State
"Vaughn, Rashad",Milwaukee Bucks,UNLV
"Vujacic, Sasha",New York Knicks,
W,,
NAME,TEAM,COLLEGE
"Wade, Dwyane",Chicago Bulls,Marquette
"Waiters, Dion",Miami Heat,Syracuse
"Wilcox, CJ",Orlando Magic,Washington
"Williams, Louis",Los Angeles Lakers,
Y,,
NAME,TEAM,COLLEGE
"Young, James",Boston Celtics,Kentucky
"Young, Nick",Los Angeles Lakers,USC
A,,
NAME,sf,COLLEGE
"Acy, Quincy",Brooklyn Nets,Baylor
"Aminu, Al-Farouq",Portland Trail Blazers,Wake Forest
"Antetokounmpo, Giannis",Milwaukee Bucks,
"Anthony, Carmelo",New York Knicks,Syracuse
"Ariza, Trevor",Houston Rockets,UCLA
B,,
NAME,TEAM,COLLEGE
"Babbitt, Luke",Miami Heat,Nevada
"Barnes, Harrison",Dallas Mavericks,North Carolina
"Barnes, Matt",Sacramento Kings,UCLA
"Bazemore, Kent",Atlanta Hawks,Old Dominion
"Beasley, Michael",Milwaukee Bucks,Kansas State
"Bembry, DeAndre",Atlanta Hawks,Saint Joseph's
"Bertans, Davis",San Antonio Spurs,
"Brewer, Corey",Houston Rockets,Florida
"Brown, Jaylen",Boston Celtics,California
"Brussino, Nicolas",Dallas Mavericks,
"Bullock, Reggie",Detroit Pistons,North Carolina
"Butler, Jimmy",Chicago Bulls,Marquette
C,,
NAME,TEAM,COLLEGE
"Caboclo, Bruno",Toronto Raptors,
"Carroll, DeMarre",Toronto Raptors,Missouri
"Casspi, Omri",Sacramento Kings,
"Chandler, Wilson",Denver Nuggets,DePaul
"Covington, Robert",Philadelphia 76ers,Tennessee State
"Crowder, Jae",Boston Celtics,Marquette
D,,
NAME,TEAM,COLLEGE
"Dekker, Sam",Houston Rockets,Wisconsin
"Deng, Luol",Los Angeles Lakers,Duke
"Dudley, Jared",Phoenix Suns,Boston College
"Durant, Kevin",Golden State Warriors,Texas
E,,
NAME,TEAM,COLLEGE
"Ennis, James",Memphis Grizzlies,Long Beach State
F,,
NAME,TEAM,COLLEGE
"Finney-Smith, Dorian",Dallas Mavericks,Florida
G,,
NAME,TEAM,COLLEGE
"Gallinari, Danilo",Denver Nuggets,
"Gay, Rudy",Sacramento Kings,Connecticut
"Gee, Alonzo",Denver Nuggets,Alabama
"George, Paul",Indiana Pacers,Fresno State
"Grant, Jerami",Oklahoma City Thunder,Syracuse
"Green, Gerald",Boston Celtics,
"Green, Jeff",Orlando Magic,Georgetown
H,,
NAME,TEAM,COLLEGE
"Harkless, Maurice",Portland Trail Blazers,St. John's
"Harris, Joe",Brooklyn Nets,Virginia
"Harris, Tobias",Detroit Pistons,Tennessee
"Hayward, Gordon",Utah Jazz,Butler
"Hill, Solomon",New Orleans Pelicans,Arizona
"Hollis-Jefferson, Rondae",Brooklyn Nets,Arizona
"Huestis, Josh",Oklahoma City Thunder,Stanford
I,,
NAME,TEAM,COLLEGE
"Iguodala, Andre",Golden State Warriors,Arizona
"Ingles, Joe",Utah Jazz,
"Ingram, Brandon",Los Angeles Lakers,Duke
J,,
NAME,TEAM,COLLEGE
"James, LeBron",Cleveland Cavaliers,
"Jefferson, Richard",Cleveland Cavaliers,Arizona
"Johnson, Brice",LA Clippers,North Carolina
"Johnson, Joe",Utah Jazz,Arkansas
"Johnson, Stanley",Detroit Pistons,Arizona
"Johnson, Wesley",LA Clippers,Syracuse
"Jones Jr., Derrick",Phoenix Suns,UNLV
K,,
NAME,TEAM,COLLEGE
"Kidd-Gilchrist, Michael",Charlotte Hornets,Kentucky
"Kuzminskas, Mindaugas",New York Knicks,
L,,
NAME,TEAM,COLLEGE
"Layman, Jake",Portland Trail Blazers,Maryland
"Leonard, Kawhi",San Antonio Spurs,San Diego State
"Looney, Kevon",Golden State Warriors,UCLA
M,,
NAME,TEAM,COLLEGE
"McAdoo, James Michael",Golden State Warriors,North Carolina
"McDermott, Doug",Chicago Bulls,Creighton
"Miles, C.J.",Indiana Pacers,
"Muhammad, Shabazz",Minnesota Timberwolves,UCLA
N,,
NAME,TEAM,COLLEGE
"Ndour, Maurice Daly",New York Knicks,Ohio
"Niang, Georges",Indiana Pacers,Iowa State
"Novak, Steve",Milwaukee Bucks,Marquette
O,,
NAME,TEAM,COLLEGE
"Oubre Jr., Kelly",Washington Wizards,Kansas
P,,
NAME,TEAM,COLLEGE
"Parsons, Chandler",Memphis Grizzlies,Florida
"Pierce, Paul",LA Clippers,Kansas
"Porter Jr., Otto",Washington Wizards,Georgetown
"Prince, Taurean",Atlanta Hawks,Baylor
R,,
NAME,TEAM,COLLEGE
"Roberson, Andre",Oklahoma City Thunder,Colorado
"Ross, Terrence",Toronto Raptors,Washington
"Rudez, Damjan",Orlando Magic,
S,,
NAME,TEAM,COLLEGE
"Sefolosha, Thabo",Atlanta Hawks,
"Simmons, Ben",Philadelphia 76ers,LSU
"Singler, Kyle",Oklahoma City Thunder,Duke
T,,
NAME,TEAM,COLLEGE
"Thomas, Lance",New York Knicks,Duke
"Tucker, P.J.",Phoenix Suns,Texas
W,,
NAME,TEAM,COLLEGE
"Warren, TJ",Phoenix Suns,North Carolina State
"Wiggins, Andrew",Minnesota Timberwolves,Kansas
"Williams, Troy",Memphis Grizzlies,Indiana
"Wiltjer, Kyle",Houston Rockets,Gonzaga
"Winslow, Justise",Miami Heat,Duke
"World Peace, Metta",Los Angeles Lakers,St. John's
Z,,
NAME,TEAM,COLLEGE
"Zipser, Paul",Chicago Bulls,
A,,
NAME,pf,COLLEGE
"Aldridge, LaMarcus",San Antonio Spurs,Texas
"Allen, Lavoy",Indiana Pacers,Temple
"Andersen, Chris",Cleveland Cavaliers,Blinn College
"Anderson, Ryan",Houston Rockets,California
"Arthur, Darrell",Denver Nuggets,Kansas
B,,
NAME,TEAM,COLLEGE
"Bass, Brandon",LA Clippers,LSU
"Bender, Dragan",Phoenix Suns,
"Bjelica, Nemanja",Minnesota Timberwolves,
"Bolomboy, Joel",Utah Jazz,Weber State
"Booker, Trevor",Brooklyn Nets,Clemson
"Bosh, Chris",Miami Heat,Georgia Tech
C,,
NAME,TEAM,COLLEGE
"Chriss, Marquese",Phoenix Suns,Washington
"Christmas, Rakeem",Indiana Pacers,Syracuse
"Collison, Nick",Oklahoma City Thunder,Kansas
"Cousins, DeMarcus",Sacramento Kings,Kentucky
"Cunningham, Dante",New Orleans Pelicans,Villanova
D,,
NAME,TEAM,COLLEGE
"Davis, Anthony",New Orleans Pelicans,Kentucky
"Davis, Deyonta",Memphis Grizzlies,Michigan State
"Davis, Ed",Portland Trail Blazers,North Carolina
"Diallo, Cheick",New Orleans Pelicans,Kansas
"Dieng, Gorgui",Minnesota Timberwolves,Louisville
E,,
NAME,TEAM,COLLEGE
"Ellenson, Henry",Detroit Pistons,Marquette
F,,
NAME,TEAM,COLLEGE
"Famous, Jarrid",Memphis Grizzlies,South Florida
"Faried, Kenneth",Denver Nuggets,Morehead State
"Favors, Derrick",Utah Jazz,Georgia Tech
"Felicio, Cristiano",Chicago Bulls,
"Frye, Channing",Cleveland Cavaliers,Arizona
G,,
NAME,TEAM,COLLEGE
"Gibson, Taj",Chicago Bulls,USC
"Gordon, Aaron",Orlando Magic,Arizona
"Green, Draymond",Golden State Warriors,Michigan State
"Green, JaMychal",Memphis Grizzlies,Alabama
"Griffin, Blake",LA Clippers,Oklahoma
H,,
NAME,TEAM,COLLEGE
"Harrell, Montrezl",Houston Rockets,Louisville
"Haslem, Udonis",Miami Heat,Florida
"Hawes, Spencer",Charlotte Hornets,Washington
"Hernangomez, Juancho",Denver Nuggets,
"Hill, Jordan",Minnesota Timberwolves,Arizona
"Holmes, Richaun",Philadelphia 76ers,Bowling Green
"House Jr., Danuel",Washington Wizards,Texas A&M
"Humphries, Kris",Atlanta Hawks,Minnesota
I,,
NAME,TEAM,COLLEGE
"Ibaka, Serge",Orlando Magic,
"Ilyasova, Ersan",Philadelphia 76ers,
J,,
NAME,TEAM,COLLEGE
"Jerebko, Jonas",Boston Celtics,
"Johnson, Amir",Boston Celtics,
"Johnson, Brice",LA Clippers,North Carolina
"Johnson, James",Miami Heat,Wake Forest
"Jokic, Nikola",Denver Nuggets,
"Jones, Terrence",New Orleans Pelicans,Kentucky
L,,
NAME,TEAM,COLLEGE
"Labissiere, Skal",Sacramento Kings,Kentucky
"Lee, David",San Antonio Spurs,Florida
"Leonard, Meyers",Portland Trail Blazers,Illinois
"Leuer, Jon",Detroit Pistons,Wisconsin
"Love, Kevin",Cleveland Cavaliers,UCLA
"Lyles, Trey",Utah Jazz,Kentucky
M,,
NAME,TEAM,COLLEGE
"Maker, Thon",Milwaukee Bucks,
"Martin, Jarell",Memphis Grizzlies,LSU
"Mbah a Moute, Luc",LA Clippers,UCLA
"McCullough, Chris",Brooklyn Nets,Syracuse
"McRoberts, Josh",Miami Heat,Duke
"Mickey, Jordan",Boston Celtics,LSU
"Millsap, Paul",Atlanta Hawks,Louisiana Tech
"Mirotic, Nikola",Chicago Bulls,
"Morris, Marcus",Detroit Pistons,Kansas
"Morris, Markieff",Washington Wizards,Kansas
"Motiejunas, Donatas",New Orleans Pelicans,
"Muscala, Mike",Atlanta Hawks,Bucknell
N,,
NAME,TEAM,COLLEGE
"Nance Jr., Larry",Los Angeles Lakers,Wyoming
"Nicholson, Andrew",Washington Wizards,St. Bonaventure
"Noel, Nerlens",Philadelphia 76ers,Kentucky
"Nowitzki, Dirk",Dallas Mavericks,
O,,
NAME,TEAM,COLLEGE
"Ochefu, Daniel",Washington Wizards,Villanova
"Onuaku, Chinanu",Houston Rockets,Louisville
P,,
NAME,TEAM,COLLEGE
"Parker, Jabari",Milwaukee Bucks,Duke
"Patterson, Patrick",Toronto Raptors,Kentucky
"Payne, Adreian",Minnesota Timberwolves,Michigan State
"Portis, Bobby",Chicago Bulls,Arkansas
"Porzingis, Kristaps",New York Knicks,
"Powell, Dwight",Dallas Mavericks,Stanford
R,,
NAME,TEAM,COLLEGE
"Randle, Julius",Los Angeles Lakers,Kentucky
"Randolph, Zach",Memphis Grizzlies,Michigan State
"Reed, Willie",Miami Heat,Saint Louis
"Robinson, Thomas",Los Angeles Lakers,Kansas
S,,
NAME,TEAM,COLLEGE
"Sabonis, Domantas",Oklahoma City Thunder,Gonzaga
"Saric, Dario",Philadelphia 76ers,
"Scola, Luis",Brooklyn Nets,
"Scott, Mike",Atlanta Hawks,Virginia
"Siakam, Pascal",Toronto Raptors,New Mexico State
"Smith, Jason",Washington Wizards,Colorado State
T,,
NAME,TEAM,COLLEGE
"Teletovic, Mirza",Milwaukee Bucks,
"Tolliver, Anthony",Sacramento Kings,Creighton
V,,
NAME,TEAM,COLLEGE
"Vonleh, Noah",Portland Trail Blazers,Indiana
W,,
NAME,TEAM,COLLEGE
"West, David",Golden State Warriors,Xavier
"Williams, Alan",Phoenix Suns,UC Santa Barbara
"Williams, Derrick",Miami Heat,Arizona
"Williams, Marvin",Charlotte Hornets,North Carolina
"Wiltjer, Kyle",Houston Rockets,Gonzaga
"Wood, Christian",Charlotte Hornets,UNLV
"Wright, Brandan",Memphis Grizzlies,North Carolina
Y,,
NAME,TEAM,COLLEGE
"Young, Thaddeus",Indiana Pacers,Georgia Tech
A,,
NAME,C,COLLEGE
"Adams, Steven",Oklahoma City Thunder,Pittsburgh
"Ajinca, Alexis",New Orleans Pelicans,
"Aldrich, Cole",Minnesota Timberwolves,Kansas
"Asik, Omer",New Orleans Pelicans,
B,,
NAME,TEAM,COLLEGE
"Baynes, Aron",Detroit Pistons,Washington State
"Biyombo, Bismack",Orlando Magic,
"Black, Tarik",Los Angeles Lakers,Kansas
"Bogut, Andrew",Dallas Mavericks,Utah
C,,
NAME,TEAM,COLLEGE
"Capela, Clint",Houston Rockets,
"Cauley-Stein, Willie",Sacramento Kings,Kentucky
"Chandler, Tyson",Phoenix Suns,
D,,
NAME,TEAM,COLLEGE
"Dedmon, Dewayne",San Antonio Spurs,USC
"Diaw, Boris",Utah Jazz,
"Drummond, Andre",Detroit Pistons,Connecticut
E,,
NAME,TEAM,COLLEGE
"Embiid, Joel",Philadelphia 76ers,Kansas
"Ezeli, Festus",Portland Trail Blazers,Vanderbilt
G,,
NAME,TEAM,COLLEGE
"Gasol, Marc",Memphis Grizzlies,
"Gasol, Pau",San Antonio Spurs,
"Gobert, Rudy",Utah Jazz,
"Gortat, Marcin",Washington Wizards,
H,,
NAME,TEAM,COLLEGE
"Hamilton, Justin",Brooklyn Nets,LSU
"Hammons, A.J.",Dallas Mavericks,Purdue
"Henson, John",Milwaukee Bucks,North Carolina
"Hernangomez, Willy",New York Knicks,
"Hibbert, Roy",Charlotte Hornets,Georgetown
"Hilario, Nene",Houston Rockets,
"Horford, Al",Boston Celtics,Florida
"Howard, Dwight",Atlanta Hawks,
J,,
NAME,TEAM,COLLEGE
"Jefferson, Al",Indiana Pacers,
"Jones, Damian",Golden State Warriors,Vanderbilt
"Jordan, DeAndre",LA Clippers,Texas A&M
K,,
NAME,TEAM,COLLEGE
"Kaminsky III, Frank",Charlotte Hornets,Wisconsin
"Kanter, Enes",Oklahoma City Thunder,Kentucky
"Koufos, Kosta",Sacramento Kings,Ohio State
L,,
NAME,TEAM,COLLEGE
"Lauvergne, Joffrey",Oklahoma City Thunder,
"Len, Alex",Phoenix Suns,Maryland
"Lopez, Brook",Brooklyn Nets,Stanford
"Lopez, Robin",Chicago Bulls,Stanford
M,,
NAME,TEAM,COLLEGE
"Mahinmi, Ian",Washington Wizards,
"Marjanovic, Boban",Detroit Pistons,
"McGee, JaVale",Golden State Warriors,Nevada
"Mejri, Salah",Dallas Mavericks,
"Monroe, Greg",Milwaukee Bucks,Georgetown
"Mozgov, Timofey",Los Angeles Lakers,
N,,
NAME,TEAM,COLLEGE
"Noah, Joakim",New York Knicks,Florida
"Nogueira, Lucas",Toronto Raptors,
"Nurkic, Jusuf",Denver Nuggets,
O,,
NAME,TEAM,COLLEGE
"O'Quinn, Kyle",New York Knicks,Norfolk State
"Okafor, Jahlil",Philadelphia 76ers,Duke
"Olynyk, Kelly",Boston Celtics,Gonzaga
P,,
NAME,TEAM,COLLEGE
"Pachulia, Zaza",Golden State Warriors,
"Papagiannis, Georgios",Sacramento Kings,
"Pekovic, Nikola",Minnesota Timberwolves,
"Plumlee, Marshall",New York Knicks,Duke
"Plumlee, Mason",Portland Trail Blazers,Duke
"Plumlee, Miles",Milwaukee Bucks,Duke
"Poeltl, Jakob",Toronto Raptors,Utah
S,,
NAME,TEAM,COLLEGE
"Seraphin, Kevin",Indiana Pacers,
"Speights, Marreese",LA Clippers,Florida
"Splitter, Tiago",Atlanta Hawks,
"Stone, Diamond",LA Clippers,Maryland
"Sullinger, Jared",Toronto Raptors,Ohio State
T,,
NAME,TEAM,COLLEGE
"Thompson, Tristan",Cleveland Cavaliers,Texas
"Towns, Karl-Anthony",Minnesota Timberwolves,Kentucky
"Turner, Myles",Indiana Pacers,Texas
V,,
NAME,TEAM,COLLEGE
"Valanciunas, Jonas",Toronto Raptors,
"Varejao, Anderson",Golden State Warriors,
"Vucevic, Nikola",Orlando Magic,USC
W,,
NAME,TEAM,COLLEGE
"Whiteside, Hassan",Miami Heat,Marshall
"Withey, Jeff",Utah Jazz,Kansas
Z,,
NAME,TEAM,COLLEGE
"Zeller, Cody",Charlotte Hornets,Indiana
"Zeller, Tyler",Boston Celtics,North Carolina
"Zimmerman, Stephen",Orlando Magic,UNLV
"Zubac, Ivica",Los Angeles Lakers,